,album titles,artists,cleaned_sentences
50,Cheers!,Franco Ambrosetti & Friends,사르다 내다 잇다 어리다 꾸리다 타고나다 타고나다 익히다 만들다 이끌다 오다 늘다 가다 가르다 닮다 벗어나다 즐기다 가다 이어지다 이어지다 크다 듣다 떠오르다
51,A Billion Heartbeats,Mystery Jets,보이다 크다 받다 세우다 내보이다 지우다 늘다 더불다 받다 거치다 개다 거치다 오다 오다 불다 펼치다 오다 잇다 채우다 겪다 모르다 가다 가져오다 드러내다 추다 담다
52,Pray For Paris,Westside Gunn,끌다 올리다 배다 드러내다 그리다 오다 이끌다 얻다 만들다 띄다 부치다 그리다 선보이다 되어다 채우다 치다 담다 내다 느껴지다 주다 쥐다 짜다 돋보이다 듣다 들어가다 모르다
53,Duality,Duke Dumont(듀크 듀몬트),느끼다 알리다 보내다 선보이다 올라서다 이어지다 서다 내다 깎다 만들다 덧붙이다 돼다 들여다보다 잃다 만들다 느끼다 권하다
54,Big Vicious,Avishai Cohen(아비샤이 코헨) & Big Vicious,가지다 알다 지다 보이다 주다 뜨다 오다 어울리다 들려주다 벗어나다 느껴지다 전해지다 늘다 이끌다 비치다 나르다 박히다 물러나다 싶다 받다
55,Gigaton,Pearl Jam(펄 잼),털다 내다 놓치다 들다 느껴지다 가다 오다 자다 만들어지다 듣다 늘다 넘다 나다 오다 가다 베다 깔리다 들다 깔다 뿌리다 흐르다 녹이다 담다 되어다
56,Superstar,Caroline Rose(캐롤라인 로즈),들이다 느끼다 모르다 늘다 드러내다 이어지다 어우러지다 오다 넘다 들다 뒤틀리다 돋보이다 오다 오다
57,The Slow Rush,Tame Impala(테임 임팔라),적다 가다 이끌다 자다 해내다 듣다 갖추다 늘다 받다 뽑다 기울이다 드러나다 잊다 가지다 채우다 멈추다 얹다 가다 꽂히다 늘어놓다 싶다 들다 듣다 들다
58,Have We Met,Destroyer(디스트로이어),믿다 듣다 따르다 넣다 주다 섞다 비다 나오다 가지다 오다 어리다 늘어나다 느껴지다 섞다 들썩이다 만들다 올라가다 들다 믿다 맺다 지다 되어다 듣다 깨다 믿다 듣다 써다 내다
59,The Music of Wayne Shorter,Wynton Marsalis(윈튼 마살리스) & Jazz At Lincoln Center Orchestra,차다 다루다 이끌다 잃다 넓어지다 늘다 담다 이끌다 가지다 가지다 늦다 실리다 실리다 가다 실리다 실리다 실리다 가다 되어다 크다 모르다 받다 열리다 돌아가다 남다 나오다 지켜보다 듣다 알다 앉다 크다 들다 태어나다
60,WHO (Deluxe),The Who(더 후),받다 늘다 놓이다 알다 접다 가리키다 해내다 늘다 빛나다 느끼다 늘다 바라보다 사라지다 배다 잊다 해보다
61,color theory,Soccer Mommy,크다 이어지다 싶다 기울이다 크다 늘다 풀다 드러내다 크다 느끼다 모르다 살다 펼치다 지니다
62,Prophecy,Qwestlife(퀘스트라이프),가지다 어울리다 싶다 들고나다 오다 가지다 늘다 알리다 넘다 겪다 가다 가지다 누르다 끝나다 받다
63,RUDEBWOY,CJ Fly,늘다 배다 모이다 받다 들다 나오다 튀다 늘다 거치다 그치다 겪다 돼다 숨기다 더불다 받다 늘다 배다 배다 받다 배다 자다 되어다
64,SADAO 2019 - Live at Blue Note Tokyo,Sadao Watanabe(사다오 와타나베/渡邊貞夫),사다 사다 이어지다 받다 물리다 나오다 사다 손꼽다 태어나다 넘다 이끌다 펼치다 되어다 나타내다 보여주다 즐기다 섞다 실리다 끄다 끄다 들리다 늘다
65,Countless Branches [Deluxe Edition],Bill Fay(빌 페이),빌다 빌다 내다 감추다 빌다 흐르다 듣다 자라나다 되어다 받다 받다 잃어버리다 흘러가다 감사하다 나오다 헤아리다 넘다 되어다 묻히다 나다 늘다 맡다 가다 느끼다 오다 되어다 되돌아보다 들다 내다 사무치다 이끌다 빌다 느껴지다 보이다 담다 내다 다가오다
66,신나게 놀아보자,하헌진 밴드,놀다 오다 나아지다 들려주다 선보다 놀다 사로자다 그리다 받아들이다 배우다 쓰이다 섞이다 되어다 듣다 주다 듣다 듣다 빨아들이다 놀다 들다 느끼다 해보다 들썩이다 받다 만들다 나아지다
67,The Savoy 10-inch LP Collection,Charlie Parker(찰리 파커),넘다 말다 되어다 비추다 얼다 붙다 되어다 모으다 놓다 모으다 디지다 쏟아내다 들다 디지다 디지다 만들다 늘다 만들다 만들다 놓다 가다 나오다 흐르다 자아내다 만들다 없어지다 이어지다
68,Melt (Deluxe),SHAED,들다 묶다 놓다 내다 모으다 내놓다 오다 돼다 받다 담기다 되어다 지키다 모이다 떨어지다
69,Fuck The World,Brent Faiyaz,울리다 담다 내다 늘다 해주다 해보다 던지다 벌어지다 주다 자아내다 들다 이기다 배다 나오다 울리다 해보다 바라다 듣다 하고프다 솟아오르다 모르다
70,Blue Peter,AprilBlue,오다 쌓다 모이다 돋보이다 아우르다 느껴지다 오다 돋보이다 오다 뽐내다 어우러지다 그리다 내다 알리다 해보다 느끼다
