,album titles,artists,cleaned_sentences
285,Face My Fears,Hikaru Utada(우타다 히카루/宇多田ヒカル),아직 적어도 그걸
286,미지(未知/微旨),문선(MOONSUN),
287,링구 / 애추,데카당,오래도록
288,멋진인생의 새노래 모음,멋진인생,없이
289,Remind Me Tomorrow,Sharon Van Etten(샤론 반 이튼),갸웃 이미
290,Why Hasn't Everything Already Disappeared?,Deerhunter(디어헌터),특히 오랫동안
291,대항해시대,문정후(문혜원),
292,PLAYGROUND,O.O.O (오오오),많이 아무리 되게
293,The Avant-Garden,Dounia,그만큼 특히
294,With you,이성찬,오랜
295,RADIO Ⅰ-Ⅷ,반규남,간곡히 저렇게
296,겹,Room306(룸306),없이
297,Icarus Falls,ZAYN(제인),
298,Head Above Water,Avril Lavigne(에이브릴 라빈),특히
299,Atelo,Eyre Llew,끝없이
300,The Last Detail,The Last Detail(라스트 디테일),
301,Rhythmking 1.0,리듬킹(RTMKNG),적어도 많이
302,Different World,Alan Walker(알렌 워커),많이
303,CLUB 33,CLUB 33 (KIRIN & SUMIN),특히
304,레드불 뮤직 서울 소리,Various Artists,특히 이른바 자유로이
305,Bitter-Sweet,Bryan Ferry(브라이언 페리),특히 이미 오랜
306,Awakening,Michelle Coltrane,
307,"피고, 지는 시간들",남기다밴드,너무나
308,LANGUAGE,XXX,특히
309,영랑시음 (永郞詩吟),최윤화(Yoonhwa Choi),
310,신보경,보니,특히
311,DON'T MESS UP MY TEMPO - The 5th Album,EXO,
312,공중그늘,공중그늘,
313,BBB,허소영,
314,Birthplace,Novo Amor(노보 아모르),그야말로
315,Trench,twenty one pilots,그만큼
316,오로라피플 (Aurora People),허클베리 핀(HuckleBerry Finn),조곤조곤
317,mono,장기하와 얼굴들,그건 없이 없이
318,Dark All Day,GUNSHIP,
319,Honey,Robyn(로빈),많이 그중 이미
320,Being Human In Public,Jessie Reyez,오래 특히
321,은서,JAMBINAI(잠비나이),이미
322,和(화),카코포니(cacophony),
323,Anti-Early Morning,Mignon,적어도
324,리모델링 (REMODELING),크라잉넛(Crying Nut),아직 아직 울컥
325,The Dreamer,서인혜(Inhye Seo),그중
326,METROCITY,Horim,드디어 이미 특히
327,Unreality,SRSQ,특히
328,Long Ago And Far Away (Live),Charlie Haden(찰리 헤이든) & Brad Mehldau(브래드 멜다우),없이 살짝살짝
329,"La Fenice (Live At Teatro La Fenice, Venice / 2006)",Keith Jarrett(키스 자렛),언제나 그토록 따로 가히
330,2,향니,이미 그만큼 한없이
331,It’s About Time,Nile Rodgers(나일 로저스) & Chic(칙),너무나도 없이
332,"Strange, But Beautiful You",남유선(Yoosun Nam),많이
333,On the Corner Where You Live,The Paper Kites,
334,Attraction Between Two Bodies,ABTB,
335,Stood,다린,없이 특히
336,LOOK AND LISTEN,룩앤리슨(Look And Listen),대놓고
337,The Blue Hour,Suede(스웨이드),끝없이
338,Kingdoms In Colour,Maribou State(마리부 스테이트),
339,Egypt Station,Paul McCartney(폴 맥카트니),아직 없이
340,사이,모트(Motte),아직
341,The Dream Thief,Shai Maestro(샤이 마에스트로),아마도 오랜
342,Love Is Here To Stay,Tony Bennett(토니 베넷) & Diana Krall(다이애나 크롤),
343,EXO The 1st Album XOXO (Kiss ＆ Hug),EXO,많이 많이 많이 많이
344,Fewchie Vs. Wolflove,플래시 플러드 달링스(Flash Flood Darlings),없이 없이
345,UNITY,서사무엘(Samuel Seo),그만큼
346,King Push – Darkest Before Dawn: The Prelude,Pusha T(푸샤 티),없이 똑같이
347,I Changed A Lot,DJ Khaled(디제이 칼리드),많이 많이
348,Period,Jaedal (재달),
349,To Pimp A Butterfly,Kendrick Lamar(켄드릭 라마),이미 그만큼
350,Summertime '06,Vince Staples(빈스 스테이플스),
351,Compton,Dr. Dre(닥터 드레),
352,Fetty Wap [Deluxe],Fetty Wap(페티 왑),이른바
353,안녕의 시작,헬로 스트레인져(Hello Stranger),이미 아무래도
354,I'm Alright,웅산,없이
355,Age,라이프 앤 타임,정신없이
356,WJ PLEASE?,우주소녀,많이 아마도
357,LOVE,더 버드(The Bird),많이 특히 특히
358,The Lord Ov Shadows,다크 미러 오브 트레지디(Dark Mirror Ov Tragedy),오래 특히 가히 이미
359,Pipe Dreams In Distorted Reality,86item,없이 그만큼 조금씩
360,Bloom,Troye Sivan(트로이 시반),한껏 없이
361,Near East Quartet,손성제 & 김율희 & 정수욱 & 서수진(SooJin Suh),
362,Thank You for Today,Death Cab For Cutie(데스 캡 포 큐티),왠지
363,Helsinki Songs,Trygve Seim,유난히
364,Big Red Machine,Big Red Machine(빅 레드 머신),
365,Be The Cowboy,Mitski,그야말로 많이
366,Kamikaze,Eminem(에미넴),갸우뚱 이를테면 그야말로
367,Escape,Gorgon City(고르곤 시티),
368,Swimming,Mac Miller(맥 밀러),특히 빨리
369,선언,오재철 스몰 앙상블,
370,L+,루싸이트 토끼,오랜 적어도 너무나 많이 아직 왠지
371,Your Home,SUMIN(수민),특히
372,ANTIDOTE,라이엇 키즈(RIOT KIDZ),
