,album titles,artists,cleaned_sentences
128,PRINCESS CATGIRL,Cashmere Cat(캐시미어 캣),상당하다 철저하다 충분하다 상당하다 가깝다 덥다 간결하다 충분하다 새롭다
129,Cheeks & Lips,꼴라(CCOLA),확고하다 낡다 어떻다 섬세하다 든든하다 든든하다
130,CODE#03 SET ME FREE,레이디스 코드(LADIES' CODE),훌륭하다 훌륭하다 확실하다 좋다 상당하다 괜찮다 훌륭하다 자연스럽다
131,Sobrightttttttt,sogumm,신선하다 신선하다 미묘하다 천진난만하다 어떻다 상당하다 깊다 반갑다 짧다 흔하다 진부하다 훌륭하다 짜릿하다 탁월하다 신선하다
132,After Darkness,Sh8peshifter,생소하다 좋다 젊다 확실하다 생소하다 좋다 짜릿하다
133,Retropolitan,Skyzoo & Pete Rock(피트 락),반갑다 만족스럽다 짧다 완전하다 눈부시다 다름없다 탁월하다 담백하다 여전하다 당하다 멀다 반갑다 만족스럽다
134,Gunsan Gaka,Trio Works,즐겁다 아쉽다 드물다 새롭다 이렇다 꾸준하다 찰지다 다양하다 담백하다 중요하다 현란하다 적절하다 꾸준하다 노랗다 가깝다 잔잔하다
135,Blue World,John Coltrane(존 콜트레인),많다 이렇다 아름답다 심오하다 독특하다 많다 강렬하다
136,Common Practice (Live At The Village Vanguard / 2017),Ethan Iverson Quartet,편안하다 담백하다 작다 복되다 작다 이렇다 편안하다 오래되다 소박하다 별다르다 담백하다 신선하다 깊다 편안하다
137,Someone's EP II,Baynk,치열하다 어떻다 반갑다 흔하다 확실하다 충분하다 확실하다 필요하다 많다
138,Saves The World,MUNA(무나),익숙하다 유연하다 어둡다 진중하다 분명하다 흥겹다 견고하다 잔잔하다 정갈하다 세련되다 훌륭하다 리드미컬하다 기대하다
139,The Highwomen,The Highwomen,순수하다 굳다 드물다 순수하다 아름답다 진정하다
140,The Nothing,Korn(콘),좋아하다 실망하다 많다 당연하다 짙다 많다 드라마틱하다 다양하다 재미있다
141,국보3호(國寶三號),Various Artists,굳다 분명하다 이렇다 좋다 어렵다 확실하다
142,In Cauda Venenum,Opeth(오페쓰),많다 기대하다 깊다 이렇다 낡다 적절하다 탁월하다 다르다 밉다 갑작스럽다 멋지다 뛰어나다
143,화기엄금,사이먼 도미닉,높다 잘생기다 확실하다 화려하다 순수하다 좋다 묵직하다 대단하다 짜릿하다 강렬하다 좋다 주도하다 확실하다
144,밭,오도마 (O'Domar),밉다 분노하다 밉다 주목할만하다 수많다 다르다 어쭙잖다 씁쓸하다 밉다 복잡하다 밉다 깊다 탁월하다 높다 적나라하다 솔직하다 지독하다
145,Be Good,경기남부재즈(Southern Gyeonggi Jazz),신선하다 색다르다 더하다 독특하다 섬뜩하다 신비롭다 선명하다 더하다 좋다
146,Unexpected Fly,이한얼 트리오(Lee Han-Earl Trio),유연하다 꾸준하다 다양하다 어느덧다 다양하다 아름답다 이렇다 중요하다 감미롭다 선명하다 유연하다 잔잔하다
147,forevher,Shura(슈라),새롭다 생기발랄하다 당당하다 유연하다 그러하다 참신하다 아름답다 황홀하다 탄탄하다 새롭다 훌륭하다
148,Lover,Taylor Swift(테일러 스위프트),두텁다 간결하다 차분하다 분명하다 어렵다 두텁다 간결하다 새롭다 어떻다 뻔하다 분명하다 짧다 여전하다
149,ASCEND,Illenium,여전하다 좋다 좋다 이렇다 확실하다 뛰어나다 얌전하다 분명하다 단단하다 알맞다 다양하다 좋다 여전하다
150,Norman Fucking Rockwell!,Lana Del Rey(라나 델 레이),얌전하다 힘드다 대단하다 거대하다 많다 정확하다 훌륭하다
151,Fear Inoculum,Tool(툴),완벽하다 거대하다 가깝다 가능하다 만족스럽다 변화무쌍하다 수많다 끝없다 충분하다
152,Eve,Rapsody(랩소디),순수하다 절묘하다 꾸준하다 다양하다 강하다 흥미롭다 섣부르다 멀다 확실하다
153,James Carter Organ Trio: Live From Newport Jazz,James Carter(제임스 카터),남다르다 충분하다 잔인하다 멀다 뜨겁다 즐겁다 완벽하다 성실하다 다양하다 이렇다 깊다 젊다 길다 남다르다
